material_id,formula,space_group_number,hybrid_probability,energy_above_hull,has_inversion
mp-1176771,mp-1176771,1,0.000151204715485,0.085743104375,False
mp-2217337,mp-2217337,1,0.000151204715485,0.085750632045459,False
mp-1204332,mp-1204332,14,0.000151204715485,0.085758039255951,True
mp-780875,mp-780875,1,0.000151204715485,0.085759742534696,False
mp-780760,mp-780760,1,0.0001792550955351,0.085803118166666,False
mp-777876,mp-777876,5,0.0001921592739489,0.085817047777773,False
mp-763194,mp-763194,9,0.000151204715485,0.085781472954558,False
mp-760138,mp-760138,1,0.0002047712948258,0.085839248287027,False
mp-759475,mp-759475,6,0.0001885667137216,0.085823074907407,False
mp-778858,mp-778858,9,0.000151204715485,0.085801139051721,False
mp-1098702,mp-1098702,194,0.000151204715485,0.085810386249999,True
mp-1205048,mp-1205048,56,0.000151204715485,0.08581184269927,True
mp-2218927,mp-2218927,1,0.000151204715485,0.085821080384621,False
mp-779364,mp-779364,62,0.000151204715485,0.085822283437499,True
mp-759561,mp-759561,6,0.0001792550955351,0.085851024814815,False
mp-755716,mp-755716,194,0.000151204715485,0.085823985,True
mp-768509,mp-768509,14,0.000151204715485,0.085824021319435,True
mp-2713471,mp-2713471,9,0.000151204715485,0.085824724934213,False
mp-1178438,mp-1178438,14,0.000151204715485,0.085825600882365,True
mp-2716108,mp-2716108,1,0.000151204715485,0.085829409399398,False
mp-759046,mp-759046,60,0.000151204715485,0.085835974999985,True
mp-1078819,mp-1078819,38,0.000151204715485,0.085843237500001,False
mp-781673,mp-781673,1,0.000151204715485,0.085855687227285,False
mp-1039509,mp-1039509,38,0.000151204715485,0.085856930833333,False
mp-1272087,mp-1272087,1,0.000151204715485,0.085874333583333,False
mp-849386,mp-849386,1,0.000151204715485,0.08588251469737,False
mp-773190,mp-773190,11,0.000151204715485,0.08588467642855,True
mp-1094448,mp-1094448,189,0.000151204715485,0.0858867882,False
mp-1379601,mp-1379601,62,0.000151204715485,0.085901791071429,True
mp-781961,mp-781961,14,0.000151204715485,0.085902210187489,True
mp-754726,mp-754726,40,0.0001882767805364,0.085947781851852,False
mp-772564,mp-772564,14,0.000151204715485,0.08593086142857,True
mp-752890,mp-752890,1,0.000151204715485,0.085934382291667,False
mp-778188,mp-778188,1,0.0001605163336715,0.085952247337959,False
mp-754130,mp-754130,12,0.000151204715485,0.085944197634615,True
mp-776418,mp-776418,62,0.000151204715485,0.085952447857144,True
mp-778247,mp-778247,1,0.0001921592739489,0.085997258777773,False
mp-754067,mp-754067,70,0.000151204715485,0.085959021666665,False
mp-760137,mp-760137,1,0.000151204715485,0.085959233214286,False
mp-2228384,mp-2228384,1,0.000151204715485,0.085960188333332,False
mp-779298,mp-779298,1,0.0001605163336715,0.085969704618031,False
mp-757944,mp-757944,1,0.000151204715485,0.085962912857129,False
mp-1186499,mp-1186499,194,0.000151204715485,0.085968347916669,True
mp-1174269,mp-1174269,2,0.000151204715485,0.086008861785715,True
mp-867649,mp-867649,30,0.000151204715485,0.086010364499996,False
mp-1247643,mp-1247643,1,0.0013452359308531,0.087207364982534,False
mp-757770,mp-757770,33,0.000151204715485,0.086013768250002,False
mp-1218656,mp-1218656,156,0.000151204715485,0.086015615000001,False
mp-1302599,mp-1302599,11,0.000151204715485,0.086015659,False
mp-754931,mp-754931,12,0.0002163429935978,0.086081726790123,True
mp-758273,mp-758273,1,0.000151204715485,0.086047820227265,False
mp-1176791,mp-1176791,1,0.000151204715485,0.086052452045452,False
mp-26198,mp-26198,15,0.000151204715485,0.086063440500001,True
mp-1221716,mp-1221716,139,0.000151204715485,0.086068276000002,True
mp-756246,mp-756246,119,0.000151204715485,0.086092308524989,False
mp-859123,mp-859123,4,0.000151204715485,0.086100663260869,False
mp-1176612,mp-1176612,6,0.000151204715485,0.086104481805556,False
mp-1203197,mp-1203197,4,0.000151204715485,0.086116069687498,False
mp-1247596,mp-1247596,1,0.0029864387306526,0.088954660900901,False
mp-1199963,mp-1199963,31,0.000151204715485,0.086121396726192,False
mp-1040828,mp-1040828,7,0.000151204715485,0.086124929969138,False
mp-772610,mp-772610,15,0.000151204715485,0.086145692941175,True
mp-760898,mp-760898,1,0.0004508163736812,0.086449329050917,False
mp-780764,mp-780764,1,0.000151204715485,0.086151690318634,False
mp-697816,mp-697816,4,0.000151204715485,0.086152162980767,False
mp-758761,mp-758761,4,0.000151204715485,0.086155967499998,False
mp-780882,mp-780882,31,0.000151204715485,0.086169448499996,False
mp-777348,mp-777348,15,0.000151204715485,0.086185729423077,True
mp-1233192,mp-1233192,1,0.000151204715485,0.086200537702724,False
mp-757894,mp-757894,60,0.000151204715485,0.086204064642844,True
mp-764885,mp-764885,1,0.000151204715485,0.086213055975594,False
mp-1379617,mp-1379617,62,0.000151204715485,0.0862259775,True
mp-1204541,mp-1204541,14,0.000151204715485,0.086229003451011,True
mp-760005,mp-760005,2,0.0001698630825439,0.086250052500002,True
mp-675397,mp-675397,12,0.000151204715485,0.086257439166665,True
mp-758811,mp-758811,9,0.000151204715485,0.086273741574079,False
mp-25886,mp-25886,43,0.000151204715485,0.086279063333346,False
mp-761101,mp-761101,1,0.000151204715485,0.086292627499999,False
mp-774807,mp-774807,167,0.000151204715485,0.086296180509247,True
mp-756207,mp-756207,7,0.000151204715485,0.086296776428572,False
mp-766584,mp-766584,14,0.000151204715485,0.08629997331731,True
mp-756723,mp-756723,33,0.000151204715485,0.086302934553571,False
mp-755900,mp-755900,9,0.000151204715485,0.086303622152766,False
mp-758712,mp-758712,7,0.000151204715485,0.086309205944438,False
mp-1198587,mp-1198587,194,0.000151204715485,0.086310956842105,True
mp-754234,mp-754234,227,0.000151204715485,0.086311354642841,False
mp-1210187,mp-1210187,62,0.0013952898044424,0.087573464166661,True
mp-766706,mp-766706,14,0.000151204715485,0.086343803533659,True
mp-646218,mp-646218,29,0.000151204715485,0.086346563169653,False
mp-2715607,mp-2715607,1,0.000151204715485,0.086346629251382,False
mp-1367927,mp-1367927,11,0.000151204715485,0.086347068833335,True
mp-1101263,mp-1101263,62,0.000151204715485,0.086347277249999,True
mp-758565,mp-758565,4,0.000151204715485,0.086348200476187,False
mp-1650015,mp-1650015,1,0.000151204715485,0.086350392271066,False
mp-1233188,mp-1233188,1,0.000151204715485,0.086351043842594,False
mp-1659341,mp-1659341,1,0.0344910565072428,0.120692394821441,False
mp-758661,mp-758661,1,0.0001605514643574,0.086379731499997,False
mp-764510,mp-764510,6,0.0001885667137216,0.08640860425926,False
mp-759497,mp-759497,6,0.0001975883987229,0.086423172407409,False
mp-752634,mp-752634,12,0.000151204715485,0.086381170146202,True
mp-2234320,mp-2234320,8,0.000151204715485,0.086386722500015,False
mp-1048638,mp-1048638,115,0.000151204715485,0.086390492000003,False
mp-1194724,mp-1194724,173,0.000151204715485,0.086394958576389,False
mp-759130,mp-759130,6,0.0001885667137216,0.086453818333334,False
mp-763224,mp-763224,1,0.000151204715485,0.08643093711803,False
mp-777571,mp-777571,8,0.0002950435350488,0.086578724490724,False
mp-768516,mp-768516,148,0.000151204715485,0.086436427794117,True
mp-2713937,mp-2713937,1,0.000151204715485,0.086437799291667,False
mp-1188583,mp-1188583,193,0.000151204715485,0.086442165555555,True
mp-756082,mp-756082,62,0.000151204715485,0.086443080124997,True
mp-757680,mp-757680,14,0.000151204715485,0.086443092499987,True
mp-763342,mp-763342,6,0.0001844380561119,0.086481559074075,False
mp-757805,mp-757805,4,0.000151204715485,0.086451129444443,False
mp-21444,mp-21444,55,0.000151204715485,0.086453034380214,True
