rank_hybrid,material_id,formula,space_group_number,crystal_system,gnn_probability,hybrid_probability,hybrid_probability_std,explicit_only_probability,embedding_only_probability,formation_energy_per_atom,energy_above_hull,band_gap,n_magnetic_sites,magnetic_elements,dft_priority_score,dft_selected,rationale
31,mp-1227126,Ca2 Y2 Mn4 O12,31,orthorhombic,0.1645531356334686,0.9915536486545773,0.0,0.9915536486545773,0.9915536486545773,-2.7689539160862062,0.013137492097214,0.0,4,Mn,0.9784161565573632,False,hybrid=0.992; hull=0.013137492097214; magnetic=Mn
32,mp-1305431,Ca2 Y2 Mn4 O12,6,monoclinic,0.9277164340019226,0.9947170671596779,0.0,0.9947170671596779,0.9947170671596779,-2.765400078586207,0.016691329597213,0.0,4,Mn,0.9780257375624649,False,hybrid=0.995; hull=0.016691329597213; magnetic=Mn
33,mp-705312,Li12 Fe12 P12 O48,33,orthorhombic,0.9999922513961792,0.9928786814241644,0.0,0.9928786814241644,0.9928786814241644,-2.463468104948979,0.016427909761904,3.7718,12,Fe,0.9764507716622604,False,hybrid=0.993; hull=0.016427909761904; magnetic=Fe
34,mp-1211080,Li2 Nd4 Ru2 O12,14,monoclinic,0.9999972581863404,0.9764167759229351,0.0,0.9764167759229351,0.9764167759229351,-2.8044745583333333,0.0,0.4246,4,Nd,0.9764167759229351,False,hybrid=0.976; hull=0.0; magnetic=Nd
35,mp-559851,Cr4 Bi4 O12,62,orthorhombic,0.997641921043396,0.9871985199993031,0.0,0.9871985199993031,0.9871985199993031,-1.992954802000002,0.011202689999999,1.790499999999999,4,Cr,0.9759958299993041,False,hybrid=0.987; hull=0.011202689999999; magnetic=Cr
36,mp-1227194,Ca1 La3 Fe4 O12,6,monoclinic,0.999994158744812,0.9883356333665881,0.0,0.9883356333665881,0.9883356333665881,-2.68422154375,0.012602566875003,0.0,4,Fe,0.9757330664915851,False,hybrid=0.988; hull=0.012602566875003; magnetic=Fe
37,mp-554162,Ca16 Mn12 O40,61,orthorhombic,0.999948263168335,0.9971473093446792,0.0,0.9971473093446792,0.9971473093446792,-2.6045197716937123,0.02164104617647,0.297099999999999,12,Mn,0.9755062631682092,False,hybrid=0.997; hull=0.02164104617647; magnetic=Mn
38,mp-18493,Na24 Fe12 P18 O72,167,trigonal,0.9999054670333862,0.993655146533157,0.0,0.993655146533157,0.993655146533157,-2.439779046640276,0.018703343928591,0.1451,12,Fe,0.974951802604566,False,hybrid=0.994; hull=0.018703343928591; magnetic=Fe
39,mp-1227926,Ca8 Y4 Mn12 O36,62,orthorhombic,0.3682158887386322,0.9872639709524162,0.0,0.9872639709524162,0.9872639709524162,-2.68744418641954,0.01265218109723,0.0,12,Mn,0.9746117898551863,False,hybrid=0.987; hull=0.01265218109723; magnetic=Mn
40,mp-1222459,Lu3 Sc1 V4 O12,6,monoclinic,1.0,0.9932251010988663,0.0,0.9932251010988663,0.9932251010988663,-3.29039659025,0.0193876755625,1.5285000000000002,5,Sc;V,0.9738374255363663,False,hybrid=0.993; hull=0.0193876755625; magnetic=Sc;V
41,mp-1211045,Li2 Gd4 Ru2 O12,14,monoclinic,0.9999920129776,0.9931033972914348,0.0,0.9931033972914348,0.9931033972914348,-2.792406803833333,0.020619058166666,0.163699999999999,4,Gd,0.9724843391247688,False,hybrid=0.993; hull=0.020619058166666; magnetic=Gd
42,mp-20699,Y4 Mn4 O12,62,orthorhombic,0.9992749094963074,0.9953325541227005,0.0,0.9953325541227005,0.9953325541227005,-3.004387995086206,0.023095256833332,0.405199999999999,4,Mn,0.9722372972893685,False,hybrid=0.995; hull=0.023095256833332; magnetic=Mn
43,mp-1147774,Ba8 Ni4 Ru4 O24,194,hexagonal,0.9999849796295166,0.9975348789255571,0.0,0.9975348789255571,0.9975348789255571,-2.068848193000001,0.025932189499996,0.004,4,Ni,0.9716026894255612,False,hybrid=0.998; hull=0.025932189499996; magnetic=Ni
