feature,importance
num__emb_299,0.0004886420520858483
num__emb_280,0.0004878054254816365
num__emb_001,0.0004865177385614939
num__emb_171,0.0004831579463279745
num__emb_142,0.0004615457700095677
num__emb_474,0.00045595656517373847
num__emb_135,0.0004549156206079389
num__emb_240,0.00045245423782958705
num__emb_217,0.00044427132870181163
num__emb_101,0.00042879795869591716
num__emb_229,0.000422137041682935
num__emb_409,0.0004145973733175737
num__emb_073,0.000413002688080842
num__emb_477,0.00039713190522830665
num__emb_395,0.00039336258883480553
num__emb_047,0.00039233324064095614
num__emb_010,0.00038617207965807956
num__emb_203,0.000381926970792654
num__emb_019,0.000381705483063093
num__emb_054,0.0003801152554144783
num__emb_201,0.00037782253952586825
num__emb_166,0.00037433338673432726
num__emb_388,0.00037188248765725277
num__emb_486,0.00036802785453862296
num__emb_151,0.00036639257008805125
num__emb_241,0.000357783895805821
num__emb_143,0.00035617356656132237
num__emb_251,0.00035510894605198597
num__emb_457,0.00035431393068190484
num__emb_424,0.0003444660355486926
num__emb_208,0.00034186110569160315
num__emb_495,0.0003374039395252727
num__emb_379,0.00033728517628101013
num__emb_501,0.0003361466100779886
num__emb_243,0.00033614042369145986
num__emb_055,0.00033407152709314785
num__emb_416,0.000333959212675878
num__emb_311,0.000330188678614135
num__emb_292,0.00032543498578999015
num__emb_454,0.00031429183266909396
num__emb_375,0.00030401211720768067
num__emb_362,0.0003030899676335809
num__emb_448,0.00030011987774950714
num__emb_391,0.0002995992556652886
num__emb_320,0.0002993907130067046
num__emb_305,0.0002974757661254732
num__emb_074,0.0002953746531203303
num__emb_197,0.00028844427150954033
num__emb_067,0.0002868868296099466
num__emb_465,0.0002843839931465821
num__emb_342,0.00027789447724368093
num__emb_308,0.0002663047823519674
num__emb_036,0.00026486351656011863
num__emb_377,0.00025756792586480935
num__emb_147,0.0002478892150224019
num__emb_025,0.00024642971728154335
num__emb_232,0.00024443465504104677
num__emb_327,0.00024319177561811688
num__emb_099,0.0002394097749166331
num__emb_093,0.00023937410297573307
num__emb_450,0.00023926546683222856
num__emb_283,0.00023856131199413962
num__n_mirror_ops,0.0002384576175080697
num__emb_095,0.00023478191492030186
num__emb_200,0.00023445091855374748
num__emb_234,0.00023364794576177743
num__emb_014,0.0002327208747423006
num__emb_488,0.0002320728629277573
num__emb_196,0.00022824877302665336
num__emb_083,0.0002251593840926773
num__emb_094,0.00021937051549146306
num__emb_065,0.0002185904704643402
num__n_rotation_6,0.00021780011030581625
num__emb_084,0.0002171891711169454
num__emb_360,0.0002146770477408663
num__emb_370,0.0002125549205694918
num__emb_000,0.00021197076665045698
num__emb_150,0.00021143209214469083
num__emb_081,0.00021109074482585481
num__emb_215,0.00020840935034930092
num__emb_045,0.00020757339426275478
num__emb_261,0.0002073077322618177
cat__point_group_6/mmm,0.00020660330096445624
num__emb_328,0.00020557872998833767
num__emb_027,0.0002055641269908663
num__emb_425,0.00020495491385731415
num__emb_343,0.00020049856849232043
num__emb_236,0.00019914747861382543
num__emb_324,0.0001955250773540856
num__emb_116,0.00019060657810093633
num__emb_341,0.00018249947103053153
num__emb_402,0.00017917753331870241
num__emb_417,0.00017837656404101667
num__emb_415,0.00017589847503441465
num__emb_238,0.00017200234981835404
num__emb_130,0.0001706055446192879
num__emb_024,0.00016952517660611427
num__emb_502,0.00016774100968273262
num__emb_483,0.00016479609007928985
num__emb_335,0.00016030211141039656
num__emb_418,0.00015749118690346514
num__emb_122,0.00015726141344874197
num__emb_156,0.00015407855656886937
num__emb_271,0.00015249408862430452
cat__crystal_system_hexagonal,0.00014831555049022412
num__emb_107,0.00014584198815557287
num__emb_376,0.0001457469329093078
num__emb_464,0.00014559886033967487
num__n_symmetry_ops,0.00014498237407385502
num__emb_007,0.00014429677212141406
num__emb_039,0.00014202881898476002
num__emb_198,0.00014098337035851362
num__emb_446,0.0001402683257332011
num__emb_003,0.00013975577089221482
num__emb_383,0.0001370678440065605
num__emb_185,0.00013667039754468028
num__emb_321,0.00013127695051360068
num__emb_329,0.00013120603825521424
