material_id,label,source_split,crystal_system,magnetic_elements,pc1,pc2
mp-1202328,unknown,unconfirmed_candidate,monoclinic,,-16.064959278694786,7.119623802918483
mp-1022038,unknown,unconfirmed_candidate,orthorhombic,,-0.9568401730857836,-3.0828806953314896
mp-758637,unknown,unconfirmed_candidate,monoclinic,,2.348905688678162,-7.652222966523745
mp-554726,unknown,unconfirmed_candidate,monoclinic,,-1.0459673176300868,-3.539876527008154
mp-864892,0,label0,cubic,,0.17303346288333898,-2.957293875445078
mp-756652,unknown,unconfirmed_candidate,triclinic,,-3.8807342826007236,-1.3951478977424348
mp-21206,0,label0,cubic,,-5.94762903847333,14.931131660712158
mp-542742,unknown,unconfirmed_candidate,monoclinic,,-2.3854200724281327,-3.7879854700132345
mp-1280914,unknown,unconfirmed_candidate,monoclinic,,6.099286812045291,-7.48457915562096
mp-1227917,0,label0,tetragonal,,-2.2630553527931845,0.18418242212401026
mp-756371,unknown,unconfirmed_candidate,trigonal,,-9.323240777931169,-1.2982027791222475
mp-530428,unknown,unconfirmed_candidate,triclinic,,-3.4117718378323367,19.684748982994247
mp-1111503,0,label0,cubic,,7.971817003763244,-5.509881524919502
mp-1095627,0,label0,orthorhombic,,-15.929444204213816,-1.0201305026020293
mp-17661,0,label0,monoclinic,,0.9907710135945678,-2.2814980230780737
mp-29045,unknown,unconfirmed_candidate,monoclinic,,-13.590962735753124,0.147009383037922
mp-1218119,0,label0,monoclinic,,13.735195951577502,6.860410919922536
mp-2228381,unknown,unconfirmed_candidate,triclinic,,-3.47780193832126,3.879887023490536
mp-1033996,0,label0,tetragonal,,0.5534968401741054,-1.4674245612484462
mp-753861,unknown,unconfirmed_candidate,tetragonal,,-4.741619899693248,-0.9683806195251776
mp-5881,unknown,unconfirmed_candidate,orthorhombic,,5.372850908952927,0.22484145341922002
mp-11178,0,label0,trigonal,,5.0799364488983105,0.6955570962394297
mp-779530,unknown,unconfirmed_candidate,triclinic,,0.6088636806592618,-4.930642101082865
mp-865165,unknown,unconfirmed_candidate,cubic,,5.947033546547971,-3.553659178881345
mp-850924,unknown,unconfirmed_candidate,triclinic,,1.0503429154521733,-5.142281417341302
mp-2714196,0,label0,triclinic,,-2.154529024339663,-6.0043814362886
mp-1222704,0,label0,trigonal,,4.938997679675408,-2.590072265394145
mp-704189,unknown,unconfirmed_candidate,monoclinic,,-1.2274025258777712,0.11637764468160228
mp-1227521,0,label0,trigonal,,10.244727316525216,-5.29127389020001
mp-1190312,unknown,unconfirmed_candidate,hexagonal,,9.776778046928719,-1.6812789744164611
mp-972384,unknown,unconfirmed_candidate,monoclinic,,-14.794653157338097,-6.777639202593649
mp-1099326,0,label0,orthorhombic,,-5.1474478554829055,3.260726756143633
mp-1226058,unknown,unconfirmed_candidate,tetragonal,,9.539018329701804,-2.5886926151442182
mp-2712709,unknown,unconfirmed_candidate,monoclinic,,-1.031189536683101,-4.049922206165665
mp-851516,0,label0,triclinic,,-3.2831829795005376,-5.619599416652651
mp-2230227,unknown,unconfirmed_candidate,triclinic,,-7.64410378245784,3.8657974019163674
mp-2215935,0,label0,monoclinic,,-7.361008050931659,13.104059998431556
mp-1033898,0,label0,orthorhombic,,1.0163240363982915,-1.58952245707132
mp-779485,unknown,unconfirmed_candidate,monoclinic,,-4.535125824829699,-3.920309029572927
mp-758897,unknown,unconfirmed_candidate,monoclinic,,3.3521527855270428,-2.265681971984817
mp-20779,0,label0,tetragonal,,8.248275569945173,-0.4260039664175679
mp-1516760,0,label0,cubic,,3.29308018766044,-4.661147423288215
