material_id,formula,rank_hybrid,rank_gnn,rank_shift_hybrid_minus_gnn,gnn_probability,hybrid_probability,probability_delta,space_group_number,crystal_system,magnetic_elements,dft_selected
mp-654372,mp-654372,14780,29931,-15151,7.788898919395968e-31,0.000151204715485,0.000151204715485,9,monoclinic,,False
mp-765343,mp-765343,23202,38351,-15149,7.42688186092153e-44,0.000151204715485,0.000151204715485,58,orthorhombic,,False
mp-1215290,mp-1215290,16228,31376,-15148,3.098504073368493e-32,0.000151204715485,0.000151204715485,164,trigonal,,False
mp-758041,mp-758041,21057,36204,-15147,9.55470313225405e-39,0.000151204715485,0.000151204715485,40,orthorhombic,,False
mp-1927,mp-1927,14134,29281,-15147,2.9260300056374547e-30,0.000151204715485,0.000151204715485,220,cubic,,False
mp-753433,mp-753433,14873,30018,-15145,6.521537334068217e-31,0.000151204715485,0.000151204715485,63,orthorhombic,,False
mp-559391,mp-559391,10736,25880,-15144,9.108625968151156e-28,0.000151204715485,0.000151204715485,4,monoclinic,,False
mp-1275701,mp-1275701,10252,25394,-15142,2.1308173052189494e-27,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-772030,mp-772030,12580,27720,-15140,5.14144091282429e-29,0.000151204715485,0.000151204715485,74,orthorhombic,,False
mp-1213302,mp-1213302,4053,19188,-15135,1.5160653887230356e-23,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-19134,mp-19134,5460,20595,-15135,2.4981858166831152e-24,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-777676,mp-777676,25376,40510,-15134,0.0,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-19388,mp-19388,5882,21016,-15134,1.3689293600993602e-24,0.000151204715485,0.000151204715485,148,trigonal,,False
mp-18703,mp-18703,3194,18327,-15133,4.58261574518571e-23,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-861259,mp-861259,23563,38693,-15130,5.605193857299268e-45,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-1217496,mp-1217496,11235,26365,-15130,4.890435426137274e-28,0.000151204715485,0.000151204715485,160,trigonal,,False
mp-581601,mp-581601,12569,27697,-15128,5.292399514837112e-29,0.000151204715485,0.000151204715485,160,trigonal,,False
mp-27904,mp-27904,527,15653,-15126,1.210568931000161e-21,0.0001995463060575,0.0001995463060575,14,monoclinic,,False
mp-558940,mp-558940,6471,21591,-15120,6.020420767856666e-25,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-1199097,mp-1199097,18756,33871,-15115,3.9857672920211017e-35,0.000151204715485,0.000151204715485,55,orthorhombic,,False
mp-1212364,mp-1212364,12655,27769,-15114,4.70669051497493e-29,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-770940,mp-770940,1194,16307,-15113,5.54410081037683e-22,0.000151204715485,0.000151204715485,11,monoclinic,,False
mp-581412,mp-581412,12572,27685,-15113,5.397647373326121e-29,0.000151204715485,0.000151204715485,160,trigonal,,False
mp-1211774,mp-1211774,6421,21533,-15112,6.719955008474976e-25,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-773603,mp-773603,20653,35763,-15110,5.756291947071713e-38,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-763878,mp-763878,25402,40511,-15109,0.0,0.000151204715485,0.000151204715485,12,monoclinic,,False
mp-570141,mp-570141,3554,18662,-15108,2.988820736027627e-23,0.000151204715485,0.000151204715485,141,tetragonal,,False
